time,tweet,label
2024/6/24 16:10,我特别讨厌方某子这类人的原因是：心胸狭隘格局小，睚眦必报但假以追求事实之名。 就说姜萍事件吧，我的态度是：哇，奇迹呀！奇迹的产生必然是极小概率事件，能不能被质疑，能。但证据链是否充足？目前好像不够。以及有个更强大的验证法：等闭卷的决赛结果出来。 还有一个动机判断法：姜萍没有足够阅历、能力以及动机在这事情上作假。她老师有没有可能？比她多一点而已。但也不能有罪推定。 我承认自己数学不行，但和数学行的人一样知道这是个奇迹，并且知道“姜萍造假对谁有什么样的好处”这条线不如“初赛是个意外”线来得更有可能。 第一次看到“全球十二名”我就想，前面的名字看起来都是华人参赛，算个哪门子全球？后来才听说达摩院这一门子事。 我觉得：姜萍苦孩子出身，没有天赋，没有人会用这颗棋子，所以别说什么以前数学成绩很一般。你根本就不会知道上帝之门在哪个瞬间对谁打开。 她才十七岁，闭卷决赛已结束，真伪马上可知结果。 我所怀疑的是：那些在她决赛前质疑搞事的人，是出于什么居心？击垮她的心理吗？  某个环境速来有“我不信其比我强”的傻X心态，现在连个17岁苦出身没“好爹好妈”放弃普高上中专的孩子也不放过，幸好她没有惊人美貌，不然要被诋毁为数学妲己的可能性也不是没有。 再次强调：不是不能质疑，请注意你们对一个17岁孩子的态度、风度以及提出质疑的时间点。 如果真的造假，等决赛成绩证明，事实不是最好的证据吗？ 就那么着急么？,0
2024/6/30 12:43,#姜萍#相信姜萍的都是一群什么人呢？ 忙着专升本的大学生 大专都上不去的中专生 四五十岁的迂腐顽固的中年人 会玩智能手机的文盲 脑子里只知道性别的女拳师 为了蹭女权流量的博主 听风就是雨的笨蛋 支持姜萍的人，你看看我说中了吗？ #舆论场中的姜萍这15天# ,0
2024/7/6 0:05,质疑归质疑，质疑错了人就……质疑姜萍无所谓的转发微博,0
2024/7/30 21:35,姜萍没热度了？怎么能让骗子这么轻松就过关？？？？你们咋想的？ ,0
2024/7/8 0:41,这位姜萍支持者对数学的理解令我“大为震撼”。#姜萍83分月考成绩截图属实# ,0
2024/6/30 12:09,#唐公茶馆[超话]# 姜萍登封，邱班禁赛 #姜萍 #阿里 #丘成桐  ,0
2024/7/3 20:45,查查这些教授的收入吧，是不是收了不该收的钱了。喜欢查别人的先把自己查一遍。包括那个北大教授。虚伪小人[笑cry][允悲][跪了]。北大自己的事儿都不管。姜萍打击名人教授们所谓的自尊及优越感，王章之流是他们子孙要走的路不可废堵,0
2024/7/10 7:36,劳东燕：“遇到公权力有问题不敢吱声，看到没啥背景的个人有什么好事，就…质疑了。还真够勇猛的。”    中储粮煤油车运食用油的事，曝光好几天了，质疑姜萍的网友都在转发批判，倒是劳东燕没吱一声——一直等到中央媒体定调了才出来装作义正辞严——她可真勇敢，在确认安全的时候。,0
2024/6/30 8:03,通过姜萍事件可以得出网络两大低智商群体：40-65岁之间中年人，20-35岁之间的女性 都是被诈骗的高危群体 ,0
2024/6/22 16:38,姜萍这个事应该算是尘埃落定了吧...... 把“Z”写成“主”了。 之前那个求和符号写错还能解释为“比较独特的书写方式”，但这次没法解释了。因为第一行她刚写了个正常写法的“Z”。  我猜她可能抄的是这个“Z上加点”的玩意儿，代指求导。说实话，这个只要有一点高数知识的人应该都不会抄错。倒是符合数学偶尔不及格的传闻...... ,0
2024/7/6 13:27,参与“姜萍造假”这类简单直接就可证明真假的问题上，如果有人不敢面对证据而要你等“官方结论”和“时间证明”，那就直接取关，逻辑很简单：他自己都不相信自己说的。,0
2024/7/7 19:19,既然 “ 坚决不予回应，那我从99.99%相信姜萍作弊，改为100%认为姜萍作弊。”—— 亲民的说法就是，我已经说过无数次的结论：姜萍就是个骗子，竞赛骗子，还有王闰秋、阿里，央视等央媒则是造谣、传谣者。都还以为他们是什么体面人吗？[吐]  我也是理工科的，参加过数,0
2024/6/22 20:55,上了下知乎发现很多人怀疑姜萍天才少女是假的，是老师王闰秋代答的考题给冲前面去了，言之凿凿，感兴趣的可以去看看。  你们怎么看这个问题，总之当事人不太可能自证，决赛由于考的题目属于硕博水平，不会答也是应该的，也不能用决赛成绩反推初赛。  ,0
2024/7/27 12:00,知识分子爱“显摆”更应该鼓励，知识分子追求名利是以知识和责任感作为交换的，是社会之福，就像商人追逐金钱是以满足人们需要为前提的，这些在你看来“丑陋”的事因为“自由交换”和“竞争”的存在而带来人类的进步和富足。姜萍是骗子这事已经不需要讨论了。你这反向用得好。对如果,0
2024/6/23 14:54,阿里数学竞赛39名选手联名请愿，要求组委会就「姜萍事件」展开第三方独立调查。  入围阿里数学竞赛决赛多名选手，联名请愿要求组委会就「姜萍同学预赛答卷」展开第三方独立调查。  目前有39位选手联名，他们的诉求有2点：  1、在获得姜萍同学和王闰秋老师的许可后，向入围决赛的选手公开其预赛答卷，以供审阅。  2. 由组委会成员和无利益冲突的第三方专家进行独立调查，并及时、公开公布调查结果。  截止目前，组委会未回复。,0
2024/6/18 8:53,#姜萍#关于姜萍的杂音越来越多，你相信姜萍的成绩是真实的吗？  ,0
2024/6/24 19:31,达摩院的印卧涛回应了关于姜萍的部分质疑，说明他们是关注这件事的。  印卧涛说“中考能拿621分，不会连求和符号都看不懂。”这句话不敢苟同。首先，621分不是高分；其次，她中考数学究竟多少分？另外，普高重高也有学生不会用求和符号，这段毫无说服力。  既然印卧涛出面回复，那希望他回答更多的问题，比如“数学方面”，比如“主=6”等等。最重要的是，联名请愿信，主办方何时回复？#达摩院否认曾要求姜萍再次答题#,0
2024/6/27 22:50,#姜萍83分月考成绩截图属实#一眼假的事情居然炒这么多天，这件事里最可恶的还不是王闰秋师徒，阿里不求证就拍视频推广，被识破后又一直装死，导致质疑者被持续网暴，要负主要责任。 ,0
